Week 1 | Player Corp (ID: 1) | Development Start | Started New Product 1
Week 1 | Rival Motors D (ID: 5) | HR Promotion | Promoted NPC_9529 to CxO
Week 1 | Rival Motors D (ID: 5) | HR Promotion | Promoted NPC_1407 to CxO
Week 1 | Rival Motors D (ID: 5) | HR Promotion | Promoted NPC_1207 to CxO
Week 1 | Rival Motors D (ID: 5) | HR Promotion | Promoted NPC_5612 to CxO
Week 1 | Rival Motors D (ID: 5) | HR Promotion | Promoted NPC_2546 to CxO
Week 1 | Rival Motors D (ID: 5) | Development Start | Started development of Model 311-M
Week 1 | Rival Motors D (ID: 5) | Advertising | Brand Ad (Budget: 150000000)
Week 1 | Rival Motors D (ID: 5) | Pricing | Changed MSRP of Start Model to 3386699
Week 1 | Rival Motors E (ID: 6) | HR Hiring Offer | Offered 2400000 yen to NPC_5217 (ID: 24542)
Week 1 | Rival Motors E (ID: 6) | HR Hiring Offer | Offered 2480000 yen to NPC_1101 (ID: 24499)
Week 1 | Rival Motors E (ID: 6) | HR Hiring Offer | Offered 3360000 yen to NPC_2999 (ID: 24582)
Week 1 | Rival Motors E (ID: 6) | HR Promotion | Promoted NPC_8643 to CxO
Week 1 | Rival Motors E (ID: 6) | HR Promotion | Promoted NPC_6533 to CxO
Week 1 | Rival Motors E (ID: 6) | HR Promotion | Promoted NPC_7353 to CxO
Week 1 | Rival Motors E (ID: 6) | HR Promotion | Promoted NPC_9353 to CxO
Week 1 | Rival Motors E (ID: 6) | HR Promotion | Promoted NPC_5344 to CxO
Week 1 | Rival Motors E (ID: 6) | HR Promotion | Promoted NPC_9113 to CxO
Week 1 | Rival Motors E (ID: 6) | Development Start | Started development of Model 451-A
Week 1 | Rival Motors E (ID: 6) | Advertising | Brand Ad (Budget: 150000000)
Week 1 | Rival Motors E (ID: 6) | Pricing | Changed MSRP of Start Model to 3367840
Week 1 | Auto Dealer A (ID: 7) | HR Hiring Offer | Offered 3040000 yen to NPC_4247 (ID: 24158)
Week 1 | Auto Dealer A (ID: 7) | HR Hiring Offer | Offered 3200000 yen to NPC_1807 (ID: 24409)
Week 1 | Auto Dealer A (ID: 7) | HR Hiring Offer | Offered 3440000 yen to NPC_3578 (ID: 24094)
Week 1 | Auto Dealer A (ID: 7) | HR Promotion | Promoted NPC_7765 to CxO
Week 1 | Auto Dealer A (ID: 7) | HR Promotion | Promoted NPC_8575 to CxO
Week 1 | Auto Dealer A (ID: 7) | HR Promotion | Promoted NPC_2623 to CxO
Week 1 | Auto Dealer A (ID: 7) | HR Promotion | Promoted NPC_4055 to CxO
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 9 units from Maker ID 6 for 29871648 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 9 units from Maker ID 1 for 29129589 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 9 units from Maker ID 1 for 29129589 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 9 units from Maker ID 2 for 30331080 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 9 units from Maker ID 4 for 29644794 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 1 for 25892968 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 4 for 26350928 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 9 units from Maker ID 1 for 29129589 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 1 for 25892968 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 3 for 26354168 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 2 for 26960960 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 5 for 26551448 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 4 for 26350928 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 3 for 26354168 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 3 for 26354168 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 5 for 26551448 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 1 for 25892968 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 1 for 25892968 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 1 for 25892968 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 7 units from Maker ID 4 for 23057062 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 4 for 26350928 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 8 units from Maker ID 5 for 26551448 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 7 units from Maker ID 4 for 23057062 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 7 units from Maker ID 6 for 23233504 yen
Week 1 | Auto Dealer A (ID: 7) | B2B Order | Ordered 3 units from Maker ID 4 for 9881598 yen
Week 1 | Auto Dealer A (ID: 7) | Advertising | Brand Ad (Budget: 50000000)
Week 1 | Auto Dealer B (ID: 8) | HR Hiring Offer | Offered 2560000 yen to NPC_4172 (ID: 24505)
Week 1 | Auto Dealer B (ID: 8) | HR Hiring Offer | Offered 2640000 yen to NPC_1018 (ID: 24493)
Week 1 | Auto Dealer B (ID: 8) | HR Hiring Offer | Offered 3200000 yen to NPC_4280 (ID: 24128)
Week 1 | Auto Dealer B (ID: 8) | HR Promotion | Promoted NPC_5283 to CxO
Week 1 | Auto Dealer B (ID: 8) | HR Promotion | Promoted NPC_3853 to CxO
Week 1 | Auto Dealer B (ID: 8) | HR Promotion | Promoted NPC_2844 to CxO
Week 1 | Auto Dealer B (ID: 8) | HR Promotion | Promoted NPC_7808 to CxO
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 7 units from Maker ID 1 for 22656347 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 6 for 16595360 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 2 for 16850600 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 4 for 16469330 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 1 for 16183105 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 3 for 16471355 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 2 for 16850600 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 2 for 16850600 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 6 for 16595360 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 2 for 16850600 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 5 for 16594655 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 2 for 16850600 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 2 for 16850600 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 5 for 16594655 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 1 for 16183105 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 3 for 16471355 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 5 units from Maker ID 3 for 16471355 yen
Week 1 | Auto Dealer B (ID: 8) | B2B Order | Ordered 2 units from Maker ID 1 for 6473242 yen
Week 1 | Auto Dealer B (ID: 8) | Advertising | Brand Ad (Budget: 50000000)
Week 1 | Auto Dealer C (ID: 9) | HR Hiring Offer | Offered 2640000 yen to NPC_5184 (ID: 24545)
Week 1 | Auto Dealer C (ID: 9) | HR Hiring Offer | Offered 2800000 yen to NPC_1699 (ID: 24131)
Week 1 | Auto Dealer C (ID: 9) | HR Hiring Offer | Offered 2800000 yen to NPC_1502 (ID: 24457)
Week 1 | Auto Dealer C (ID: 9) | HR Promotion | Promoted NPC_1903 to CxO
Week 1 | Auto Dealer C (ID: 9) | HR Promotion | Promoted NPC_4465 to CxO
Week 1 | Auto Dealer C (ID: 9) | HR Promotion | Promoted NPC_6906 to CxO
Week 1 | Auto Dealer C (ID: 9) | HR Promotion | Promoted NPC_7901 to CxO
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 7 units from Maker ID 5 for 23232517 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 7 units from Maker ID 5 for 23232517 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 7 units from Maker ID 3 for 23059897 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 7 units from Maker ID 5 for 23232517 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 5 units from Maker ID 1 for 16183105 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 5 units from Maker ID 6 for 16595360 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 5 units from Maker ID 1 for 16183105 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer C (ID: 9) | B2B Order | Ordered 4 units from Maker ID 4 for 13175464 yen
Week 1 | Auto Dealer C (ID: 9) | Advertising | Brand Ad (Budget: 50000000)
Week 1 | Auto Dealer D (ID: 10) | HR Hiring Offer | Offered 2800000 yen to NPC_6866 (ID: 24194)
Week 1 | Auto Dealer D (ID: 10) | HR Hiring Offer | Offered 3040000 yen to NPC_5188 (ID: 24235)
Week 1 | Auto Dealer D (ID: 10) | HR Hiring Offer | Offered 3360000 yen to NPC_1382 (ID: 24109)
Week 1 | Auto Dealer D (ID: 10) | HR Promotion | Promoted NPC_4988 to CxO
Week 1 | Auto Dealer D (ID: 10) | HR Promotion | Promoted NPC_6061 to CxO
Week 1 | Auto Dealer D (ID: 10) | HR Promotion | Promoted NPC_7416 to CxO
Week 1 | Auto Dealer D (ID: 10) | HR Promotion | Promoted NPC_5504 to CxO
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 7 units from Maker ID 3 for 23059897 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 7 units from Maker ID 3 for 23059897 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 7 units from Maker ID 1 for 22656347 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 7 units from Maker ID 5 for 23232517 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 3 for 19765626 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 5 units from Maker ID 4 for 16469330 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 2 for 20220720 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 5 for 19913586 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 4 for 19763196 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 6 for 19914432 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 6 units from Maker ID 1 for 19419726 yen
Week 1 | Auto Dealer D (ID: 10) | B2B Order | Ordered 4 units from Maker ID 4 for 13175464 yen
Week 1 | Auto Dealer D (ID: 10) | Advertising | Brand Ad (Budget: 50000000)
Week 1 | Auto Dealer E (ID: 11) | HR Hiring Offer | Offered 3040000 yen to NPC_9805 (ID: 24454)
Week 1 | Auto Dealer E (ID: 11) | HR Hiring Offer | Offered 2240000 yen to NPC_6748 (ID: 24444)
Week 1 | Auto Dealer E (ID: 11) | HR Hiring Offer | Offered 2800000 yen to NPC_6866 (ID: 24194)
Week 1 | Auto Dealer E (ID: 11) | HR Promotion | Promoted NPC_2212 to CxO
Week 1 | Auto Dealer E (ID: 11) | HR Promotion | Promoted NPC_4203 to CxO
Week 1 | Auto Dealer E (ID: 11) | HR Promotion | Promoted NPC_1405 to CxO
Week 1 | Auto Dealer E (ID: 11) | HR Promotion | Promoted NPC_9312 to CxO
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 9 units from Maker ID 5 for 29870379 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 9 units from Maker ID 2 for 30331080 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 3 for 26354168 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 9 units from Maker ID 1 for 29129589 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 9 units from Maker ID 3 for 29648439 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 9 units from Maker ID 6 for 29871648 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 3 for 26354168 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 1 for 25892968 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 3 for 26354168 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 6 for 26552576 yen
Week 1 | Auto Dealer E (ID: 11) | B2B Order | Ordered 8 units from Maker ID 1 for 25892968 yen
